State,Party,Decided?,Vote
,,,
Georgia,Vision,"No, I'm Undecided",Undecided
,,,
Georgia,Vision,"No, I'm Undecided",Undecided
,,,
Illinois,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Indiana,Vision,"No, I'm Undecided",Undecided
,,,
Kansas,Vision,"No, I'm Undecided",Undecided
,,,
Kansas,Vision,"No, I'm Undecided",Undecided
,,,
Kansas,Vision,"No, I'm Undecided",Undecided
,,,
Kansas,Vision,"No, I'm Undecided",Undecided
,,,
Kansas,Vision,"No, I'm Undecided",Undecided
,,,
Kentucky,Vision,"No, I'm Undecided",Undecided
,,,
Kentucky,Vision,"No, I'm Undecided",Undecided
,,,
Louisiana,Vision,"No, I'm Undecided",Undecided
,,,
Louisiana,Vision,"No, I'm Undecided",Undecided
,,,
Louisiana,Vision,"No, I'm Undecided",Undecided
,,,
Maine,Vision,"No, I'm Undecided",Undecided
,,,
Maine,Vision,"No, I'm Undecided",Undecided
,,,
Maryland,Vision,"No, I'm Undecided",Undecided
,,,
Michigan,Vision,"No, I'm Undecided",Undecided
,,,
Michigan,Vision,"No, I'm Undecided",Undecided
,,,
Michigan,Vision,"No, I'm Undecided",Undecided
,,,
Missouri,Vision,"No, I'm Undecided",Undecided
,,,
Nevada,Vision,"No, I'm Undecided",Undecided
,,,
New Mexico,Vision,"No, I'm Undecided",Undecided
,,,
New Mexico,Vision,"No, I'm Undecided",Undecided
,,,
New Mexico,Vision,"No, I'm Undecided",Undecided
,,,
North Carolina,Vision,"No, I'm Undecided",Undecided
,,,
North Carolina,Vision,"No, I'm Undecided",Undecided
,,,
North Carolina,Vision,"No, I'm Undecided",Undecided
,,,
North Carolina,Vision,"No, I'm Undecided",Undecided
,,,
North Carolina,Vision,"No, I'm Undecided",Undecided
,,,
Oklahoma,Vision,"No, I'm Undecided",Undecided
,,,
Oklahoma,Vision,"No, I'm Undecided",Undecided
,,,
South Carolina,Vision,"No, I'm Undecided",Undecided
,,,
South Carolina,Vision,"No, I'm Undecided",Undecided
,,,
South Carolina,Vision,"No, I'm Undecided",Undecided
,,,
South Carolina,Vision,"No, I'm Undecided",Undecided
,,,
South Carolina,Vision,"No, I'm Undecided",Undecided
,,,
South Carolina,Vision,"No, I'm Undecided",Undecided
,,,
Tennessee,Vision,"No, I'm Undecided",Undecided
,,,
