Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
5/16/2019 16:31:27,Texas,Yes,Vision,Confidence,Instagram page,Forehand/McDonald,Campaign team outreach,It's possible,No,Moderately involved,"Biani Benitez, Caleb Hahn, Caroline Gould, Chloe Carlson, Madelyn McDonald, Noah Kent, Patrick Sullivan, Ryan Folmar, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/17/2019 0:01:54,Michigan,Yes,Vision,Humility,Elections Hall table setup,Undecided,Performance during debates,Very likely,No,Slightly involved,"Briley Glisson, Caroline Gould, David Gosz, Isaac Richardson, Liz Daley, Logan Hancock, Luke Bieber, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/17/2019 1:16:50,Pennsylvania,No,Vision,Honesty,Instagram page,Forehand/McDonald,Performance during debates,It's possible,No,Very involved,"Biani Benitez, Toby Forehand"
,,,,,,,,,,,
5/17/2019 1:23:02,,No,N/A,Honesty,Instagram page,Robinson/Adams,Prior relationship with candidates,Unlikely,No,Very involved,"Anna Adams, Jonathan Crampton, Patrick Sullivan"
,,,,,,,,,,,
5/17/2019 1:49:03,Florida,No,N/A,Honesty,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,Unlikely,No,Moderately involved,"Anna Adams, Libby Robinson, Patrick Sullivan"
,,,,,,,,,,,
5/17/2019 2:45:51,Virginia,Yes,N/A,Honesty,Campaign posters,Undecided,Personal interaction at National Convention,Very likely,No,Moderately involved,"Biani Benitez, Blake Landry, Braden Kanyur, Briley Glisson, Caleb Shirk, Chad Fryer, David Gosz, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Logan Hancock, Luke Bieber, Noah Diaz, Patrick Sullivan, Ryan Folmar, Tessa Lynn, Toby Forehand"
,,,,,,,,,,,
5/17/2019 2:49:20,,Yes,Compassion,Honesty,Campaign merchandise,Robinson/Adams,Prior relationship with candidates,Out of the question,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Bradley Conrad, Briley Glisson, Caleb Hahn, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Jo Woodell, Daniel McCarthy, Emma Freeland, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
